time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1664	1.38568	5.19952	0.274323	0.294448	radar	4.27736	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3912	1.46391	5.17216	0.294892	0.3043	lidar	1.04869	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6219	1.56819	5.11282	0.333668	0.349993	radar	3.70444	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.851	1.58526	5.07848	0.314086	0.295709	lidar	1.88189	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1156	1.63756	5.11016	0.308301	0.261257	radar	2.10779	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3964	1.66877	5.13731	0.289515	0.212658	lidar	2.18596	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6282	1.73121	5.09932	0.297164	0.211816	radar	0.98063	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.86	1.78861	5.07943	0.299095	0.199421	lidar	0.448408	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1131	1.88158	5.12455	0.314097	0.201823	radar	1.28115	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3595	1.89654	5.10178	0.287561	0.147912	lidar	0.949763	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6151	1.95336	5.13417	0.281505	0.12324	radar	1.02199	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8129	2.09567	5.10831	0.333472	0.191291	lidar	3.15795	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0767	2.20198	5.18354	0.345814	0.185549	radar	3.52662	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2781	2.34751	5.16125	0.392508	0.241017	lidar	2.27295	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4556	2.51433	5.0828	0.459184	0.33587	radar	10.302	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7058	2.61806	5.10456	0.465989	0.320559	lidar	0.890783	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9243	2.73847	5.09183	0.487343	0.331098	radar	0.152569	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1522	2.88584	5.11196	0.516767	0.349028	lidar	0.369904	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4032	2.98747	5.16101	0.504514	0.289881	radar	1.7549	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6147	3.04976	5.10728	0.48948	0.249339	lidar	2.43466	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.844	3.20233	5.15674	0.510794	0.251695	radar	3.75415	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0484	3.39665	5.18078	0.561291	0.305674	lidar	0.907373	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2568	3.57039	5.1801	0.600721	0.348135	radar	2.35398	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4695	3.75389	5.20635	0.635136	0.371591	lidar	0.50445	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6822	3.88786	5.19603	0.641367	0.353532	radar	1.06162	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9068	4.02276	5.19705	0.643927	0.331944	lidar	0.322507	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.0999	4.19451	5.16981	0.680785	0.37801	radar	1.71813	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.2974	4.38569	5.19075	0.712141	0.394838	lidar	0.276308	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5082	4.5484	5.20441	0.720763	0.374334	radar	0.715514	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6883	4.71347	5.18518	0.739789	0.375616	lidar	0.451936	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8344	4.92551	5.1328	0.808897	0.484703	radar	4.27057	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9983	5.14594	5.15412	0.850025	0.50748	lidar	0.284962	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1669	5.32385	5.13303	0.871466	0.508808	radar	1.80625	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.329	5.49838	5.1096	0.887835	0.497534	lidar	0.312192	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4829	5.67765	5.07622	0.912511	0.509004	radar	3.33561	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6839	5.79111	5.02044	0.889103	0.444952	lidar	2.56434	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8218	5.99969	5.00265	0.933056	0.494444	radar	0.942252	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0002	6.17961	5.0015	0.938402	0.46781	lidar	0.901699	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1476	6.39175	5.01454	0.963015	0.467118	radar	0.602844	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2692	6.62285	5.02848	1.00124	0.486839	lidar	0.274711	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.3984	6.84221	5.03061	1.03124	0.498366	radar	0.158693	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5524	6.97378	4.94994	1.01879	0.451592	lidar	2.83258	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.703	7.17915	4.969	1.02057	0.405734	radar	0.689891	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9084	7.30869	4.91726	0.985932	0.333904	lidar	4.44825	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.99	7.52309	4.87189	1.04208	0.418034	radar	4.22265	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0801	7.77938	4.90808	1.08825	0.451121	lidar	0.818591	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2009	7.98822	4.9062	1.10041	0.430692	radar	0.360236	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2806	8.20096	4.88306	1.13146	0.444311	lidar	1.4271	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3802	8.41263	4.8792	1.14284	0.414943	radar	2.3618	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4788	8.55985	4.78652	1.14389	0.392655	lidar	4.45104	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5671	8.77324	4.76992	1.17139	0.413707	radar	0.640266	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7354	8.93949	4.73662	1.14642	0.354766	lidar	4.35996	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8039	9.16669	4.725	1.18984	0.409802	radar	1.04384	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9381	9.38377	4.74119	1.18904	0.381024	lidar	2.85831	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9763	9.61473	4.71581	1.24987	0.470113	radar	2.63543	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0649	9.84777	4.73306	1.26799	0.462349	lidar	0.638862	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1256	10.0954	4.76544	1.29008	0.44475	radar	7.07531	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.173	10.3615	4.80789	1.32661	0.461532	lidar	0.693156	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1844	10.6028	4.79491	1.38431	0.531466	radar	2.62508	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2432	10.8685	4.8382	1.40834	0.526044	lidar	1.91704	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2736	11.1233	4.86251	1.432	0.507948	radar	4.90288	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3077	11.3596	4.85723	1.45515	0.505417	lidar	0.0127224	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2468	11.6135	4.84471	1.54949	0.648028	radar	9.63644	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3193	11.8501	4.8444	1.55029	0.608497	lidar	5.15305	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3508	12.0834	4.84559	1.53852	0.503076	radar	4.21571	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3385	12.3644	4.89748	1.574	0.512441	lidar	1.02243	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2854	12.6047	4.88271	1.64263	0.608803	radar	2.7458	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3107	12.843	4.87434	1.65302	0.584729	lidar	2.04576	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2987	13.0762	4.86093	1.67755	0.580922	radar	2.11657	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.262	13.2905	4.82577	1.70895	0.585993	lidar	1.02778	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2243	13.5264	4.82495	1.73003	0.559226	radar	1.35974	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2055	13.7819	4.84524	1.7485	0.546464	lidar	1.35273	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1487	14.0107	4.83424	1.78717	0.574241	radar	0.777608	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0945	14.2628	4.85685	1.81504	0.571912	lidar	0.335069	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0228	14.4925	4.85368	1.84446	0.566525	radar	1.36231	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9152	14.7433	4.89019	1.88758	0.582305	lidar	1.09496	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8494	14.9633	4.87185	1.89833	0.534134	radar	3.41972	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8201	15.1831	4.83945	1.90511	0.512182	lidar	2.26841	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.684	15.3918	4.83144	1.99955	0.688408	radar	7.43286	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.652	15.5833	4.76472	2.00829	0.661247	lidar	3.93932	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.559	15.7911	4.75095	2.03005	0.633177	radar	1.49136	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4551	16.0025	4.74907	2.05986	0.631071	lidar	0.0240239	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3547	16.2133	4.74388	2.06673	0.563641	radar	1.99344	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.245	16.3914	4.7043	2.09676	0.56817	lidar	0.787427	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1261	16.5893	4.69879	2.12632	0.57257	radar	0.290933	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9981	16.7968	4.71183	2.15384	0.570539	lidar	0.0972715	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8403	16.9867	4.72634	2.22383	0.683321	radar	6.12901	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6691	17.2154	4.79583	2.25847	0.680027	lidar	1.76686	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
