time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.165	1.35165	5.05119	0.230412	0.197953	radar	4.40592	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.382	1.4295	5.00172	0.251375	0.21233	lidar	1.01356	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6138	1.50586	4.75972	0.270338	0.223767	radar	2.00348	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8258	1.53441	4.70651	0.265591	0.20368	lidar	0.895624	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.097	1.58852	5.04532	0.266004	0.190406	radar	2.74183	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3824	1.63751	5.12122	0.262683	0.17397	lidar	2.29082	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6122	1.69146	4.97246	0.267081	0.168847	radar	0.591111	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8392	1.75561	4.9467	0.275563	0.168916	lidar	0.199868	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.0986	1.84946	5.21377	0.292975	0.179614	radar	1.28959	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3465	1.87857	5.18235	0.2795	0.151292	lidar	0.62732	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6033	1.94231	5.30008	0.281477	0.14384	radar	0.383865	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8076	2.07817	5.24065	0.323171	0.187214	lidar	3.21407	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0769	2.19475	5.45618	0.344306	0.201366	radar	2.15519	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.287	2.33697	5.40191	0.382552	0.236742	lidar	2.54631	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.46	2.47469	4.88675	0.424136	0.27713	radar	10.4431	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7066	2.58883	4.94595	0.440257	0.280017	lidar	0.96486	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9269	2.69862	4.96804	0.455664	0.281591	radar	0.113853	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1551	2.85367	5.02383	0.488938	0.305532	lidar	0.67326	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4065	2.97483	5.32297	0.497045	0.294453	radar	1.02811	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6151	3.04051	5.20932	0.48741	0.263944	lidar	2.37023	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8462	3.20547	5.35444	0.517751	0.284735	radar	3.14537	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
